1.7277357, 52.6147463,JET Great Yarmouth
-5.884555, 54.701128,JET Greenisland
-1.8625059, 53.6829793,JET Greetland
-0.1010973, 53.5657672,JET Grimsby
-0.092439, 53.528232,JET Grimsby
-0.0706099, 53.5746235,JET Grimsby - 24x7
-1.3510903, 54.1995823,JET Gristhwaite - LPG 24x7
-1.4088348, 51.6183598,JET Grove
-1.0566468, 54.5372976,JET Guisborough
-0.0660569, 51.555644,JET Hackney E5 - 24x7
-0.0549716, 51.5550292,JET Hackney E5 - HGV
-2.7763795, 55.9614436,JET Haddington - HGV
0.0952061, 51.6045389,JET Hainault - HGV
1.5042638, 52.347016,JET Halesworth
-1.9050488, 53.7195653,JET Halifax
-4.0495579, 55.7528169,JET Hamilton - 24x7
-4.0459813, 55.7821985,JET Hamilton - 24x7
-4.030432, 55.7735997,JET Hamilton - 24x7
-2.1718047, 53.0210143,JET Hanley - 24x7
-0.413238, 51.4329483,JET Hanworth - 24x7
-3.7129648, 50.3943235,JET Harbertonford - HGV
-4.4060161, 55.9254285,JET Hardgate
-0.2539276, 51.5427263,JET Harlesden NW10 - 24x7
-1.5912221, 54.9196298,JET Harlow Green - 24x7
-2.7381812, 52.7325951,JET Harlscott - HGV
-0.3013784, 51.587481,JET Harrow
0.448448, 52.0794574,JET Haverhill
-1.06594, 54.015838,JET Haxby
-5.4060859, 50.193014,JET Hayle
0.5034286, 52.905511,JET Heacham - HGV
-1.5226356, 54.969343,JET Hebburn - HGV
-1.651736, 53.7056,JET Heckmondwicke
1.2670483, 52.6658389,JET Hellesdon
-0.4684868, 51.7581093,JET Hemel Hempstead
1.6931956, 52.6905833,JET Hemsby
-0.8951225, 51.5268263,JET Henley-on-Thames
-0.1022467, 51.4647784,JET Herne Hill SE24 - 24x7
-1.5094997, 53.4686743,JET High Green - 24x7
-0.7726958, 51.6338865,JET High Wycombe
0.544537, 52.8002325,JET Hillington
-4.3627533, 55.8553975,JET Hillington Ind Est - 24x7
-0.7327621, 51.1137112,JET Hindhead - HGV
-1.8697267, 52.3922637,JET Hollywood
-3.206493, 50.7955331,JET Honiton
-1.5795241, 53.6559951,JET Horbury - HGV
-1.5759214, 53.6574524,JET Horbury - HGV
-1.2946306, 50.9521428,JET Horton Heath
-0.996578, 52.626814,JET Houghton-on-Hill
-1.4686888, 53.4989961,JET Hoyland
-1.4401869, 53.5028798,JET Hoyland
-1.8383256, 53.6397328,JET Huddersfield
-1.7993994, 53.6419695,JET Huddersfield
-0.3598704, 53.7533106,JET Hull
-0.3277635, 53.7590968,JET Hull
-0.3281023, 53.7691298,JET Hull - LPG 24x7
1.0464531, 51.0596481,JET Hythe
-1.4008211, 52.6922781,JET Ibstock
-5.2501236, 50.2305074,JET Illogan Highway - HGV
-4.6647988, 55.6029804,JET Irvine - HGV
-1.9128668, 53.8578875,JET Keighley - LPG 24x7
-2.4318315, 55.5934423,JET Kelso
-1.5728074, 52.3339427,JET Kenilworth
-5.977842, 54.57551,JET Kennedy Way Ind Est - 24x7
-0.4756047, 51.8485617,JET Kensworth - HGV
0.0369399, 51.3671324,JET Keston - 24x7
-4.4928114, 55.5947459,JET Kilmarnock - HGV LPG
-3.5793742, 50.5023579,JET Kingskerswell
-3.5967854, 50.5466453,JET Kingsteignton
-0.9307775, 54.2666518,JET Kirkbymoorside
-1.7296482, 52.3869337,JET Knowle
-3.8078131, 50.8545767,JET Lapford
-5.803916, 54.845596,JET Larne - HGV
-4.3663483, 50.631714,JET Launceston
-3.9727469, 50.3847775,JET Lee Mill Bridge
-1.5465137, 53.8157959,JET Leeds - 24x7
-1.5408745, 53.7931356,JET Leeds - LPG 24x7
-1.1280335, 52.6435579,JET Leicester - 24x7
-4.1694132, 55.9257508,JET Lenzie
-1.8239338, 54.307389,JET Leyburn - HGV
-0.0104919, 51.5653457,JET Leyton High Rd E10 - 24x7
0.0176086, 51.5738497,JET Leytonstone E11
0.0095066, 51.5626169,JET Leytostone E11
-3.6210537, 55.9753992,JET Linlithgow - 24x7
0.3129654, 51.5751083,JET Little Warley - HGV 24x7
-1.504309, 52.906212,JET Littleover
0.2845314, 52.4639316,JET Littleport - HGV
-1.7964721, 53.6302227,JET Lockwood
-0.2880811, 53.8615955,JET Long Riston
-4.5113767, 50.3454257,JET Looe
-1.4431714, 53.0008752,JET Lower Kilburn
-0.3042935, 52.0068543,JET Lower Stondon
1.7330377, 52.4994087,JET Lowestoft
-0.4674372, 51.8928593,JET Luton
-3.6930288, 55.9615264,JET Maddiston - HGV 24x7 LPG
0.0853744, 52.5520076,JET March
-0.9162784, 52.4726152,JET Market Harborough
-3.5942272, 50.4536107,JET Marldon
-1.752899, 52.4672833,JET Marston Green
-4.6832825, 55.3535966,JET Maybole
-0.8759691, 52.7672288,JET Melton Mowbray
-1.3075349, 53.4970568,JET Mexborough
-1.2698935, 53.4942211,JET Mexborough - HGV 24x7
0.5106693, 52.3453661,JET Mildenhall - HGV
-0.643562, 52.5923685,JET Morcott - HGV LPG
-1.7133785, 55.1806177,JET Morpeth - 24x7
-4.0067292, 55.7869126,JET Motherwell - 24x7
-1.7564174, 52.8165827,JET Needwood
-2.9156704, 52.7672128,JET Nesscliffe
-0.9915516, 51.5756423,JET Nettlebed
-3.8855797, 55.7740259,JET New Mains - HGV
-0.808635, 53.0729813,JET Newark
-0.8043823, 53.0602623,JET Newark
-0.7907635, 53.0902488,JET Newark - HGV 24x7
-1.6827374, 54.9823575,JET Newcastle Upon Tyne - 24x7
-3.456168, 55.9833453,JET Newton - HGV 24x7
-5.907809, 54.659335,JET Newtownabbey - 24x7
-5.683928, 54.595912,JET Newtownards
-0.120606, 51.407225,JET Norbury SW16 - 24x7
-1.4048471, 53.7045486,JET Normanton
-0.5161902, 53.723944,JET North Ferriby - HGV 24x7
0.178419, 51.7211979,JET North Weald - HGV
1.2832241, 52.6463487,JET Norwich
1.2843367, 52.6327014,JET Norwich - 24x7
1.3008237, 52.6285143,JET Norwich - 24x7
-1.1361368, 52.9414613,JET Nottingham
-1.4917973, 52.5165903,JET Nuneaton
-2.0274125, 52.5091254,JET Oldbury
0.0954208, 51.3665605,JET Orpington - 24x7
-1.5983515, 54.8821614,JET Ouston
-1.4997964, 53.4031638,JET Owleston - 24x7
-4.9540135, 50.5354714,JET Padstow - HGV
-4.3951076, 55.8364263,JET Paisley - HGV 24x7
-0.1005078, 51.6151758,JET Palmers Green N13 - 24x7
-1.5302463, 53.9590098,JET Pannal - 24x7
-4.7173076, 50.3638929,JET Par
0.684882, 50.9764909,JET Peasmarsh - HGV
-0.0548023, 51.411901,JET Penge - HGV 24x7
-1.6341679, 53.5293329,JET Penistone
-0.2467216, 52.5862999,JET Peterborough
-4.133758, 50.3974147,JET Plymouth
-4.1069633, 50.367528,JET Pomphlett - HGV 24x7
-1.1080941, 53.1194497,JET Rainworth - 24x7
-4.3989949, 55.8790119,JET Renfrew - HGV 24x7
-1.307269, 53.292418,JET Renishaw
-0.9328623, 53.305979,JET Retford - HGV
0.6991691, 51.588029,JET Rochford - HGV
0.2170432, 51.5971338,JET Romford
-1.3709446, 53.4297846,JET Rotherham - 24x7
1.2974075, 52.8838619,JET Roughton - HGV 24x7 LPG
-1.4500679, 53.5954063,JET Royston - HGV
-4.9125836, 50.2433132,JET Ruan High Lanes
-3.7127674, 55.977116,JET Rumford - HGV 24x7
-0.5995704, 52.2963945,JET Rushden
-5.2033451, 50.2507403,JET Scorrier
-0.6498533, 53.595093,JET Scunthorpe - 24x7
-1.3358073, 54.8397892,JET Seaham
-1.6538486, 55.5800646,JET Seahouses
-1.064903, 53.7747453,JET Selby
